,reproCost,radiusCost,energyQuantity,maxMutate,growthRate,rescDensity,basalEnergyCost,0.025,0.25,0.5,0.75,0.975
8,0.5,0.1,1.0,0.25,0.75,0.75,0.4,0.0,0.0,0.0,0.0,0.0
9,0.5,0.1,1.0,0.25,0.75,0.75,0.45,0.0,0.0,0.0,0.0,0.0
10,0.5,0.1,1.0,0.25,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0
11,0.5,0.1,1.0,0.25,0.75,0.75,0.55,0.0,0.0,0.0,0.0,0.0
12,0.5,0.1,1.0,0.25,0.75,0.75,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
13,0.5,0.1,1.0,0.25,0.75,0.75,0.65,0.0,0.0,0.0,0.0,0.0
14,0.5,0.1,1.0,0.25,0.75,0.75,0.7000000000000001,0.0,0.0,0.0,0.0,0.0
15,0.5,0.1,1.0,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0
0,0.5,0.1,1.0,0.25,0.05,0.75,0.0,0.0,0.070353,0.310329,0.518775,0.9371422999999994
1,0.5,0.1,1.0,0.25,0.05,0.75,0.05,0.0,0.4731675000000001,0.6351720000000001,0.79769425,1.1563542500000004
2,0.5,0.1,1.0,0.25,0.05,0.75,0.1,0.0,0.0,0.0,0.0,0.0
3,0.5,0.1,1.0,0.25,0.05,0.75,0.15000000000000002,0.0,0.0,0.0,0.0,0.0
4,0.5,0.1,1.0,0.25,0.05,0.75,0.2,0.0,0.0,0.0,0.0,0.0
5,0.5,0.1,1.0,0.25,0.05,0.75,0.25,0.0,0.0,0.0,0.0,0.0
6,0.5,0.1,1.0,0.25,0.05,0.75,0.30000000000000004,0.0,0.0,0.0,0.0,0.0
7,0.5,0.1,1.0,0.25,0.05,0.75,0.35000000000000003,0.0,0.0,0.0,0.0,0.0
8,0.5,0.1,1.0,0.25,0.05,0.75,0.4,0.0,0.0,0.0,0.0,0.0
9,0.5,0.1,1.0,0.25,0.05,0.75,0.45,0.0,0.0,0.0,0.0,0.0
10,0.5,0.1,1.0,0.25,0.05,0.75,0.5,0.0,0.0,0.0,0.0,0.0
11,0.5,0.1,1.0,0.25,0.05,0.75,0.55,0.0,0.0,0.0,0.0,0.0
12,0.5,0.1,1.0,0.25,0.05,0.75,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
13,0.5,0.1,1.0,0.25,0.05,0.75,0.65,0.0,0.0,0.0,0.0,0.0
14,0.5,0.1,1.0,0.25,0.05,0.75,0.7000000000000001,0.0,0.0,0.0,0.0,0.0
15,0.5,0.1,1.0,0.25,0.05,0.75,0.75,0.0,0.0,0.0,0.0,0.0
0,0.5,0.1,1.0,0.25,0.5,0.75,0.0,0.0,0.326317,0.545864,0.7452725,1.117233225
1,0.5,0.1,1.0,0.25,0.5,0.75,0.05,0.34689315,0.6621229999999999,0.83706,1.020459,1.4350237999999989
2,0.5,0.1,1.0,0.25,0.5,0.75,0.1,0.47749525,0.8088035,0.993373,1.192835,1.6142316499999998
3,0.5,0.1,1.0,0.25,0.5,0.75,0.15000000000000002,0.5315743749999999,0.8570015,1.055196,1.3148885000000001,1.8585900000000002
4,0.5,0.1,1.0,0.25,0.5,0.75,0.2,0.0,0.0,0.0,0.0,0.0
5,0.5,0.1,1.0,0.25,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0
6,0.5,0.1,1.0,0.25,0.5,0.75,0.30000000000000004,0.0,0.0,0.0,0.0,0.0
7,0.5,0.1,1.0,0.25,0.5,0.75,0.35000000000000003,0.0,0.0,0.0,0.0,0.0
8,0.5,0.1,1.0,0.25,0.5,0.75,0.4,0.0,0.0,0.0,0.0,0.0
9,0.5,0.1,1.0,0.25,0.5,0.75,0.45,0.0,0.0,0.0,0.0,0.0
10,0.5,0.1,1.0,0.25,0.5,0.75,0.5,0.0,0.0,0.0,0.0,0.0
11,0.5,0.1,1.0,0.25,0.5,0.75,0.55,0.0,0.0,0.0,0.0,0.0
12,0.5,0.1,1.0,0.25,0.5,0.75,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
13,0.5,0.1,1.0,0.25,0.5,0.75,0.65,0.0,0.0,0.0,0.0,0.0
14,0.5,0.1,1.0,0.25,0.5,0.75,0.7000000000000001,0.0,0.0,0.0,0.0,0.0
15,0.5,0.1,1.0,0.25,0.5,0.75,0.75,0.0,0.0,0.0,0.0,0.0
0,0.5,0.1,1.0,0.25,0.75,0.75,0.0,0.0,0.23943925,0.4902315,0.7129489999999999,1.096072125
1,0.5,0.1,1.0,0.25,0.75,0.75,0.05,0.30351809999999996,0.62078,0.7908890000000001,0.969865,1.2942581999999998
2,0.5,0.1,1.0,0.25,0.75,0.75,0.1,0.44180649999999994,0.775687,0.959597,1.144526,1.4965595
3,0.5,0.1,1.0,0.25,0.75,0.75,0.15000000000000002,0.4860434,0.785143,0.93842,1.113865,1.5652500999999979
4,0.5,0.1,1.0,0.25,0.75,0.75,0.2,0.5849061500000001,0.91658575,1.098266,1.2932735000000002,1.746297925
5,0.5,0.1,1.0,0.25,0.75,0.75,0.25,0.0,0.0,0.0,0.0,0.0
6,0.5,0.1,1.0,0.25,0.75,0.75,0.30000000000000004,0.0,0.0,0.0,0.0,0.0
7,0.5,0.1,1.0,0.25,0.75,0.75,0.35000000000000003,0.0,0.0,0.0,0.0,0.0
8,0.5,0.1,1.0,0.25,0.75,0.75,0.4,0.0,0.0,0.0,0.0,0.0
9,0.5,0.1,1.0,0.25,0.75,0.75,0.45,0.0,0.0,0.0,0.0,0.0
10,0.5,0.1,1.0,0.25,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0
11,0.5,0.1,1.0,0.25,0.75,0.75,0.55,0.0,0.0,0.0,0.0,0.0
12,0.5,0.1,1.0,0.25,0.75,0.75,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
13,0.5,0.1,1.0,0.25,0.75,0.75,0.65,0.0,0.0,0.0,0.0,0.0
14,0.5,0.1,1.0,0.25,0.75,0.75,0.7000000000000001,0.0,0.0,0.0,0.0,0.0
15,0.5,0.1,1.0,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0
0,0.5,0.1,0.0,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
1,0.5,0.1,0.1,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
2,0.5,0.1,0.2,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
3,0.5,0.1,0.30000000000000004,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
4,0.5,0.1,0.4,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
5,0.5,0.1,0.5,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
